Gene,P_adj,Fold_Change,Log2_Fold_Change
RCN2,8.440024087264463e-16,0.098850116,-3.3386135
TSIX,8.039033299945886e-16,0.2925063,-1.7734604
CEND1,2.850449013997676e-16,0.11511636,-3.1188352
PCP4L1,9.506357693003077e-17,0.30361494,-1.7196853
CHN1,8.013817266875987e-17,0.2325566,-2.1043463
ELOVL6,7.333877648741142e-17,0.09810279,-3.349562
CAR8,3.442155388933842e-17,0.03472629,-4.847828
KCNC1,2.061105659190129e-17,0.09684054,-3.3682451
RRBP1,7.8346232880814e-18,0.2769546,-1.8522787
1700025G04RIK,2.809320755317929e-18,0.19704488,-2.3434038
CNTNAP2,1.9987367336698938e-18,0.038014594,-4.717303
CD47,1.11573009019134e-18,0.32518718,-1.6206577
ASPH,1.1032663992071238e-18,0.07878364,-3.66596
PODXL2,4.587008839966527e-19,0.32993746,-1.5997355
SYNE1,3.4156294077614316e-19,0.2370596,-2.0766783
EPHA5,2.5956165990657087e-19,0.062234867,-4.006133
FBXW7,1.907567168410815e-19,0.22051734,-2.181036
SRGAP3,5.017574089611746e-20,0.08666886,-3.5283425
A030009H04RIK,8.873816859761649e-21,0.1555557,-2.6844969
LAPTM4A,5.372178351051925e-21,0.37150747,-1.4285369
D3BWG0562E,4.084697453443962e-21,0.1560768,-2.679672
PTPRS,2.00339343558012e-21,0.18070503,-2.4682915
BSG,1.0078955389183127e-21,0.48851836,-1.0335153
APPL2,8.237064322903747e-24,0.28416649,-1.8151916
NSG1,7.891937984233744e-24,0.02271103,-5.460463
DPP6,6.445682023737048e-24,0.024384206,-5.357909
SIX3OS1,3.417312940122227e-24,0.04682509,-4.4165745
TMOD2,1.963473730883445e-24,0.042355314,-4.561313
A830010M20RIK,1.860104397857968e-24,0.121292345,-3.0434396
NRSN1,1.0564673242474486e-24,0.06080472,-4.039673
PRKCE,9.853677967795105e-25,0.17763318,-2.493027
ANKRD37,5.361670634688164e-25,0.2665524,-1.907509
TET1,2.3674431972511485e-25,0.09959525,-3.3277793
HMGN5,1.0773259408394035e-25,0.11988765,-3.060245
VEGFA,7.369499592487372e-26,0.12173135,-3.0382273
SEPT7,3.8473233504503406e-26,0.40693846,-1.2971175
SH3BGRL,3.164955142684372e-26,0.033195753,-4.9128575
TSC22D1,7.689559779677383e-27,0.2676185,-1.9017502
YWHAG,2.723981089625512e-27,0.22430886,-2.1564415
2900011O08RIK,6.090206572007471e-28,0.04058798,-4.6228037
REV3L,6.036080927952937e-28,0.29945675,-1.7395805
NNAT,8.240293669182136e-29,0.03716202,-4.750027
ZWINT,2.713997883104263e-29,0.20831275,-2.263177
SCD2,3.445991871468359e-30,0.15303075,-2.7081065
XIST,2.1387584197641136e-30,0.39170155,-1.3521732
PRKCB,1.8596991177834236e-30,0.029162997,-5.099717
FSTL5,1.727746741816089e-30,0.01660321,-5.912394
ZFHX3,4.11973701977468e-31,0.027907906,-5.1631823
ROBO2,1.528108894962233e-31,0.014606133,-6.097282
DUSP3,9.794501916654442e-32,0.018261679,-5.775037
CD200,6.556806098467662e-33,0.021532154,-5.5373635
6430548M08RIK,5.1425752395352944e-33,0.10981773,-3.1868172
FAIM2,1.2502776093551134e-33,0.0013926162,-9.487987
CYGB,1.0063024887043457e-33,0.04051204,-4.6255054
PLK5,6.739437239121565e-34,0.32705483,-1.6123956
SLIT2,3.664979070930744e-35,0.018121207,-5.786177
STMN1,3.0352238134156623e-35,0.018499639,-5.756359
RNF152,1.962354847680223e-35,0.022095846,-5.500081
PPP1R1A,1.575320421474236e-35,0.039360333,-4.667114
GSTM5,4.238541007574364e-36,0.040210303,-4.636291
ARHGEF9,3.634716064106037e-36,0.046071474,-4.4399824
CAMSAP2,1.2613814478488912e-36,0.1759264,-2.506956
MAGED1,9.002184846813024e-37,0.2861117,-1.8053496
NDNF,1.8020678997865618e-37,0.012074961,-6.3718376
ZEB2,1.7408078334161351e-37,0.014091247,-6.149057
NDRG4,2.995007202566084e-38,0.041132197,-4.603588
ZFHX4,1.7981475784338534e-38,0.017436683,-5.8417306
SIX3,1.1872577586499494e-38,0.051790655,-4.2711644
CACNA2D3,8.997997040548984e-39,0.023384023,-5.418333
PCDHA2,5.033881967697839e-39,0.10433565,-3.260696
CHGA,1.196399057154989e-39,0.20651019,-2.275715
NRXN2,2.248277266678794e-40,0.020928597,-5.5783806
BASP1,1.6506804660605192e-40,0.08104248,-3.6251779
KHDRBS3,4.0693595602289624e-41,0.15085675,-2.7287488
CCDC88A,2.1110093445110553e-41,0.19224194,-2.379005
UCHL1,3.5928457026910104e-42,0.059499245,-4.070985
RUNX1T1,2.3229369988807086e-42,0.023322226,-5.4221506
ZFP385B,9.880960772421302e-43,0.27303916,-1.8728201
KIF5C,4.14531440622187e-43,0.047093786,-4.4083195
4930447C04RIK,3.660115904179681e-43,0.065961525,-3.9222314
NCALD,3.204511750268618e-43,0.027604317,-5.178962
MYO5A,1.6888379470014449e-43,0.11292152,-3.1466076
TGFB2,1.3654464275585673e-44,0.025287516,-5.305431
QPCT,7.564249832372112e-45,0.0127503425,-6.29332
ANK3,1.555779079143751e-45,0.122579336,-3.0282123
AUTS2,8.52823945140236e-47,0.011591059,-6.430844
IGF1,6.230473200664652e-47,0.010633651,-6.555219
INA,1.493438494324503e-47,0.030051546,-5.056417
SPOCK2,2.04204454159939e-48,0.04493096,-4.476146
