"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070486","GO:0070486","leukocyte aggregation","7/1935","13/18860",0.538461538461538,5.2482607831445,5.1808045150881,0.000116139638068314,0.00346655954734709,0.00278034909966016,"IL1B/CD44/S100A9/S100A8/ZAP70/BMP7/JAM2",7
"GO:0060348","GO:0060348","bone development","41/1935","220/18860",0.186363636363636,1.8164435048156,4.11860365938622,0.000116220722229831,0.00346655954734709,0.00278034909966016,"SFRP4/SULF1/ADAMTS12/COL1A1/STC1/MMP14/COMP/SH3PXD2B/COL3A1/MMP13/CCN4/ATG9B/MSX2/SPNS2/SERPINH1/BGN/TFAP2A/SOX9/TWIST1/FGF18/LOX/BMP2/SP5/EPYC/PLS3/RYR1/BMP6/CLDN18/AXIN2/CHAD/IFITM5/GHR/COL27A1/TRPV4/MMP16/BGLAP/TNFSF11/FGFR2/ZBTB16/LEP/WNT1",41
"GO:0003012","GO:0003012","muscle system process","76/1935","485/18860",0.156701030927835,1.52732891126562,3.97808679303135,0.000116254733733795,0.00346655954734709,0.00278034909966016,"SULF1/EDNRA/STC1/COMP/CKMT2/F2R/IL1B/SPHK1/HTR1D/APLN/GTF2IRD1/GJC1/PDGFRB/ITGA2/LMCD1/CCDC78/CACNA1C/HOMER1/NMU/KLF4/AGT/NOS3/HTR7/CACNA1D/PDE9A/ADRA2A/CTNNA3/SMPX/PDGFB/TNNI3/P2RX1/JPH1/GSTM2/KCNH2/SNTB1/RYR1/P2RX6/SLC8A3/TBX20/PROK2/P2RY1/KCNE4/KIT/OXTR/EDN3/TNNT3/TPM2/P2RX2/IGFBP5/FXYD1/ADRA1A/ATP1A2/MYH4/ABCC8/MYLK2/ANK2/DRD2/EDN2/GPER1/SLN/KCNE2/TRPV4/KCNB2/TRPV1/RYR2/CAMK2B/MYL3/TRIM72/RGS4/ACTC1/SCNN1B/ADRA2C/CAV3/JPH4/CLCN1/LEP",76
"GO:0042908","GO:0042908","xenobiotic transport","17/1935","62/18860",0.274193548387097,2.67250145869801,4.4600733751161,0.000117738762862558,0.00348389161952444,0.00279425026322459,"ABCG2/SLC22A5/ABCC2/ABCB11/SLC47A1/SLC22A3/SLC7A5/ABCA8/SLC22A4/SLC2A1/SVOP/CLDN1/SLC28A3/MIR186/PDZK1/SLC29A1/SLC22A2",17
"GO:0098773","GO:0098773","skin epidermis development","29/1935","137/18860",0.211678832116788,2.06318489598069,4.22295875157106,0.000118046718645919,0.00348389161952444,0.00279425026322459,"FOXQ1/INHBA/WNT5A/KRT17/CDH3/DSG4/MSX2/LGR5/SNAI1/MET/SOX9/DKK4/GRHL1/KRT16/KLF4/BCL2/APCDD1/GRHL3/ZNF750/CLDN1/SHH/FERMT1/CYSRT1/IGFBP5/ABCA12/DKK1/TGFB2/FGFR2/GAL",29
"GO:0046545","GO:0046545","development of primary female sexual characteristics","25/1935","111/18860",0.225225225225225,2.19521847428824,4.27026875174222,0.000121178596617125,0.00355138763882376,0.002848385348437,"INHBA/MMP14/ROBO2/TNFAIP6/DACH1/CEBPB/BRCA2/VEGFA/BCL2/NOTCH4/NOS3/MMP2/WT1/ZP3/DMRTA1/KIT/AFP/GAS2/INHBB/ESR1/EREG/CYP19A1/UMODL1/LEP/AMH",25
"GO:0002793","GO:0002793","positive regulation of peptide secretion","27/1935","124/18860",0.217741935483871,2.12228057014254,4.23944811127716,0.000121567917436713,0.00355138763882376,0.002848385348437,"PDX1/F2RL2/SOX4/APLN/TFR2/NMU/BLK/NNAT/S100A8/VSNL1/FFAR2/PRKCB/PLCB1/RASL10B/NR1H4/UCN3/ABCC8/GCG/DRD2/GPER1/TNFSF11/GPLD1/MLXIPL/ECRG4/FFAR1/GRP/SLC30A8",27
"GO:1903522","GO:1903522","regulation of blood circulation","49/1935","279/18860",0.175627240143369,1.71179831995036,4.05004636297097,0.000124859685514847,0.00361323908407694,0.00289799321115321,"EDNRA/STC1/CORIN/F2R/APELA/APLN/GJC1/TMIGD3/CACNA1C/NMU/ATP1B2/AGT/NOS3/CACNA1D/MMP2/ADRA2A/CTNNA3/TNNI3/P2RX1/JPH1/HCN1/GSTM2/KCNH2/SLC1A1/SLC8A3/THRB/KCNE4/TBX18/OXTR/AVPR1B/EDN3/FXYD1/ADRA1A/IRX3/ATP1A2/ANK2/DRD2/ADRB1/EDN2/ATP2B2/KCNE2/RYR2/MYL3/RGS4/TGFB2/ADRA2C/CAV3/JPH4/LEP",49
"GO:0015697","GO:0015697","quaternary ammonium group transport","8/1935","17/18860",0.470588235294118,4.58671530627755,5.00243920144706,0.000125568691019181,0.00361323908407694,0.00289799321115321,"SLC22A5/SLC6A20/SLC22A3/SLC22A4/PDZK1/SLC6A14/SLC16A9/SLC22A2",8
"GO:0072074","GO:0072074","kidney mesenchyme development","8/1935","17/18860",0.470588235294118,4.58671530627755,5.00243920144706,0.000125568691019181,0.00361323908407694,0.00289799321115321,"SIX4/SIX1/MYC/TCF21/WT1/BMP7/SHH/FOXD1",8
"GO:0007613","GO:0007613","memory","28/1935","131/18860",0.213740458015267,2.08327908949247,4.20682251212788,0.000128845482028894,0.00368908332873773,0.00295882397851112,"CEBPB/SGK1/CAMK4/MUSK/ITGA8/KLK8/SLC1A1/GRIN2A/CALB1/SLC17A7/SLC8A3/RCAN2/MAP1A/LRRN4/PTN/PLCB1/ABCC8/DRD2/SHANK1/KCTD16/LCN2/ASIC1/KCNK2/ITGA5/PAK5/GABRB3/CUX2/SORCS3",28
"GO:0001654","GO:0001654","eye development","69/1935","432/18860",0.159722222222222,1.55677576801608,3.95838993372633,0.000132269871640465,0.00376838173906374,0.00302242515447336,"INHBA/COL8A1/RCN1/COL5A2/MFAP2/WNT2/SH3PXD2B/STRA6/WNT5A/SOX11/SOX4/COL5A1/FJX1/PDGFRB/MYOM1/THY1/ADAMTS9/TFAP2A/PDE6A/COL4A1/SOX9/BFSP1/WNT7B/SLC17A8/CACNA1C/TWIST1/ALDH1A3/VEGFA/KLF4/BCL2/NKD1/PXDN/LAMC3/TGIF2/FREM2/HES5/RAB37/WT1/BMP7/LAMA1/HCN1/SLC1A1/SPRED3/CALB1/SLC17A7/THRB/GRHL3/PLAAT3/SHH/BMP6/SLITRK6/KRT12/MYH15/EPHB1/FASLG/VSX1/DRD2/PRSS56/FOXF2/RP1L1/MAB21L1/OLFM3/PAX4/BFSP2/CLDN19/OPN4/TGFB2/FOXC2/GNGT1",69
"GO:0007596","GO:0007596","blood coagulation","44/1935","243/18860",0.181069958847737,1.76484724747716,4.0574994700157,0.000133079381053325,0.0037727676746891,0.00302594288783423,"FAP/PDPN/PLAU/ANGPT2/COMP/F2R/COL3A1/F2RL2/IL6/IL6R/ITGA2/SLC7A11/PLCG2/F7/NOS3/SERPINE1/ADRA2A/P2RY12/SERPINE2/TFPI2/PDGFB/P2RX1/F5/SCUBE1/P2RY1/SERPINA10/SHH/TYRO3/F13A1/HBB/VWF/SELP/ANGPTL1/ANGPTL6/ADTRP/PF4/KNG1/CEACAM1/PRSS56/SERPIND1/DGKI/C4BPB/FN1/ADRA2C",44
